(node:5971) [MONGODB DRIVER] Warning: useNewUrlParser is a deprecated option: useNewUrlParser has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
(Use `node --trace-warnings ...` to show where the warning was created)
(node:5971) [MONGODB DRIVER] Warning: useUnifiedTopology is a deprecated option: useUnifiedTopology has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
🚀 GATE Exam Simulator API running on port 8001
📱 Environment: development
🗄️  Database: mongodb://localhost:27017
Connected to MongoDB
127.0.0.1 - - [04/Sep/2025:19:32:00 +0000] "GET /api/ HTTP/1.1" 200 46 "-" "curl/7.88.1"
10.64.135.166 - - [04/Sep/2025:19:34:12 +0000] "GET /api/ HTTP/1.1" 200 46 "-" "python-requests/2.32.5"
10.64.135.165 - - [04/Sep/2025:19:34:12 +0000] "POST /api/auth/register HTTP/1.1" 201 173 "-" "python-requests/2.32.5"
10.64.131.228 - - [04/Sep/2025:19:34:13 +0000] "POST /api/auth/register HTTP/1.1" 201 179 "-" "python-requests/2.32.5"
10.64.132.126 - - [04/Sep/2025:19:34:13 +0000] "POST /api/auth/login HTTP/1.1" 200 208 "-" "python-requests/2.32.5"
10.64.129.84 - - [04/Sep/2025:19:34:13 +0000] "POST /api/auth/login HTTP/1.1" 200 210 "-" "python-requests/2.32.5"
10.64.132.126 - - [04/Sep/2025:19:34:13 +0000] "GET /api/auth/me HTTP/1.1" 200 173 "-" "python-requests/2.32.5"
10.64.131.25 - - [04/Sep/2025:19:34:14 +0000] "POST /api/admin/questions HTTP/1.1" 201 866 "-" "python-requests/2.32.5"
10.64.131.228 - - [04/Sep/2025:19:34:14 +0000] "GET /api/admin/questions HTTP/1.1" 200 868 "-" "python-requests/2.32.5"
10.64.131.25 - - [04/Sep/2025:19:34:14 +0000] "POST /api/admin/upload/csv HTTP/1.1" 200 58 "-" "python-requests/2.32.5"
10.64.135.165 - - [04/Sep/2025:19:34:14 +0000] "POST /api/admin/exams HTTP/1.1" 201 333 "-" "python-requests/2.32.5"
10.64.135.167 - - [04/Sep/2025:19:34:14 +0000] "GET /api/exams HTTP/1.1" 200 335 "-" "python-requests/2.32.5"
10.64.129.84 - - [04/Sep/2025:19:34:14 +0000] "POST /api/exam/start/3f63e189-eafe-4f02-8708-1a2900697569 HTTP/1.1" 201 355 "-" "python-requests/2.32.5"
10.64.131.228 - - [04/Sep/2025:19:34:14 +0000] "GET /api/admin/questions HTTP/1.1" 403 35 "-" "python-requests/2.32.5"
10.64.135.166 - - [04/Sep/2025:19:34:14 +0000] "GET /api/ HTTP/1.1" 200 46 "-" "python-requests/2.32.5"
10.64.131.25 - - [04/Sep/2025:19:34:20 +0000] "GET /api/admin/questions HTTP/1.1" 401 43 "-" "curl/7.88.1"
10.64.135.165 - - [04/Sep/2025:19:35:39 +0000] "POST /api/auth/register HTTP/1.1" 201 185 "https://gate-prep-hub-2.preview.emergentagent.com/register" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.165 - - [04/Sep/2025:19:35:40 +0000] "POST /api/auth/login HTTP/1.1" 200 217 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.164 - - [04/Sep/2025:19:35:40 +0000] "GET /api/auth/me HTTP/1.1" 200 185 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.166 - - [04/Sep/2025:19:35:40 +0000] "GET /api/exams HTTP/1.1" 200 335 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.165 - - [04/Sep/2025:19:35:40 +0000] "GET /api/exams HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.166 - - [04/Sep/2025:19:35:40 +0000] "GET /api/admin/exams HTTP/1.1" 200 335 "https://gate-prep-hub-2.preview.emergentagent.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.166 - - [04/Sep/2025:19:35:40 +0000] "GET /api/admin/questions HTTP/1.1" 200 - "https://gate-prep-hub-2.preview.emergentagent.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.135.167 - - [04/Sep/2025:19:35:40 +0000] "GET /api/admin/questions HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.132.125 - - [04/Sep/2025:19:35:40 +0000] "GET /api/admin/exams HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:05 +0000] "POST /api/auth/register HTTP/1.1" 201 191 "https://gate-prep-hub-2.preview.emergentagent.com/register" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:06 +0000] "POST /api/auth/login HTTP/1.1" 200 220 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:06 +0000] "GET /api/auth/me HTTP/1.1" 200 191 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:06 +0000] "GET /api/exams HTTP/1.1" 200 335 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:06 +0000] "GET /api/exams HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.131.228 - - [04/Sep/2025:19:36:06 +0000] "POST /api/exam/start/3f63e189-eafe-4f02-8708-1a2900697569 HTTP/1.1" 201 355 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:37:06 +0000] "GET /api/ HTTP/1.1" 200 46 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:16 +0000] "POST /api/auth/login HTTP/1.1" 401 40 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:23 +0000] "POST /api/auth/register HTTP/1.1" 201 167 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:30 +0000] "POST /api/auth/login HTTP/1.1" 200 200 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:39 +0000] "POST /api/admin/questions HTTP/1.1" 201 792 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:48 +0000] "POST /api/admin/questions HTTP/1.1" 401 43 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:48 +0000] "POST /api/admin/questions HTTP/1.1" 401 43 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:57 +0000] "POST /api/auth/login HTTP/1.1" 200 200 "-" "curl/7.88.1"
127.0.0.1 - - [04/Sep/2025:19:39:57 +0000] "POST /api/admin/exams HTTP/1.1" 201 371 "-" "curl/7.88.1"
10.64.129.84 - - [04/Sep/2025:19:55:45 +0000] "POST /api/auth/login HTTP/1.1" 401 40 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:01 +0000] "POST /api/auth/register HTTP/1.1" 201 182 "https://gate-prep-hub-2.preview.emergentagent.com/register" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:10 +0000] "POST /api/auth/login HTTP/1.1" 200 212 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:10 +0000] "GET /api/auth/me HTTP/1.1" 200 182 "https://gate-prep-hub-2.preview.emergentagent.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:10 +0000] "GET /api/exams HTTP/1.1" 200 707 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:11 +0000] "GET /api/exams HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.131.25 - - [04/Sep/2025:19:56:17 +0000] "POST /api/exam/start/3f63e189-eafe-4f02-8708-1a2900697569 HTTP/1.1" 201 355 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
